Date,Open,High,Low,Close,Volume
12/11/18,2413.9,2437.85,2395,2415.55,487888
13/11/18,2416,2451,2415.55,2438.05,469698
14/11/18,2449.9,2470,2406.8,2449.25,430253
15/11/18,2456.8,2497.95,2449.95,2461.8,498725
16/11/18,2463,2496.8,2442.05,2477.05,425810
19/11/18,2545.5,2545.6,2490,2528.6,947022
20/11/18,2520.1,2520.1,2437.55,2443.15,541117
21/11/18,2608,2655,2577.15,2601.8,4485824
22/11/18,2580,2619.7,2575.6,2608.7,1009204
26/11/18,2607,2637.9,2521.05,2558.6,1129634
27/11/18,2575,2602.8,2542,2588.75,1047598
28/11/18,2595,2595.35,2547.75,2572.3,644293
29/11/18,2584,2666.7,2575.1,2655.3,1048293
30/11/18,2661,2734.55,2657.05,2722.2,1491828
03/12/18,2738.6,2742.6,2652.45,2667.9,983834
04/12/18,2688,2718.85,2681.8,2704.05,915453
05/12/18,2696,2713.95,2646.6,2671.65,447631
06/12/18,2671,2681,2621.15,2641.2,515153
07/12/18,2661,2714.3,2643,2692.55,1179675
10/12/18,2623.1,2707,2623.1,2690.45,1005187
11/12/18,2668.5,2749.95,2666.1,2716.15,840779
12/12/18,2670,2711.55,2534.1,2586.35,3413128
13/12/18,2625,2625,2567.2,2596.85,1037801
14/12/18,2595,2609.6,2568,2591.7,586360
17/12/18,2604.7,2635,2600.2,2613.15,592403
18/12/18,2601.8,2645,2582.15,2639.3,739253
19/12/18,2645,2651,2584.65,2613.75,841239
20/12/18,2607.7,2633.95,2592,2628.45,493086
21/12/18,2609.4,2616.3,2578.1,2608.05,747959
24/12/18,2610,2623.1,2578.2,2599.8,504639
26/12/18,2598,2628,2575.2,2622.3,753624
27/12/18,2641,2645,2581.35,2587.45,587578
28/12/18,2605,2633,2601.1,2621.9,597700
31/12/18,2634.7,2663.8,2610,2616.5,1026529
01/01/19,2618.1,2634,2600,2607.05,338757
02/01/19,2606,2618,2575.05,2601.05,417551
03/01/19,2605,2614.8,2564,2577.35,541891
04/01/19,2580,2606,2562,2600,407397
